subset,path,repeat,location,source_mm3,witness_mm3,raw_removed_mm3,normalized_removed_mm3,raw_relief_ratio,normalized_relief_ratio,epsilon_zero_mm3,normalization_applied,engineering_status
L03_L06,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,12297.348936105464,856.7992449269805,856.7992449269805,0.06513528912213698,0.06513528912213698,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,12297.34893610546,856.7992449269841,856.7992449269841,0.06513528912213726,0.06513528912213726,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,12297.348936105438,856.7992449270059,856.7992449270059,0.06513528912213891,0.06513528912213891,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,12297.348936105464,856.7992449269805,856.7992449269805,0.06513528912213698,0.06513528912213698,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,11980.945095444984,1173.20308558746,1173.20308558746,0.08918882997525861,0.08918882997525861,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,11980.945095444953,1173.203085587491,1173.203085587491,0.08918882997526097,0.08918882997526097,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,11980.945095444979,1173.2030855874655,1173.2030855874655,0.08918882997525902,0.08918882997525902,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,11980.945095444984,1173.20308558746,1173.20308558746,0.08918882997525861,0.08918882997525861,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,11980.945095444953,1173.203085587491,1173.203085587491,0.08918882997526097,0.08918882997526097,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,11980.945095444979,1173.2030855874655,1173.2030855874655,0.08918882997525902,0.08918882997525902,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,11980.94491743857,1173.203263593874,1173.203263593874,0.08918884350759926,0.08918884350759926,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,11980.944917438543,1173.2032635939013,1173.2032635939013,0.08918884350760133,0.08918884350760133,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,11980.944917438568,1173.2032635938758,1173.2032635938758,0.0891888435075994,0.0891888435075994,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,11980.94491743857,1173.203263593874,1173.203263593874,0.08918884350759926,0.08918884350759926,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,11980.944917438543,1173.2032635939013,1173.2032635939013,0.08918884350760133,0.08918884350760133,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05_L06,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,11980.944917438568,1173.2032635938758,1173.2032635938758,0.0891888435075994,0.0891888435075994,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,11852.112265718826,1302.0359153136178,1302.0359153136178,0.09898291378464794,0.09898291378464794,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,11852.112265718793,1302.0359153136505,1302.0359153136505,0.09898291378465042,0.09898291378465042,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,11852.112265718828,1302.035915313616,1302.035915313616,0.0989829137846478,0.0989829137846478,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,11852.112265718826,1302.0359153136178,1302.0359153136178,0.09898291378464794,0.09898291378464794,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,11852.112265718793,1302.0359153136505,1302.0359153136505,0.09898291378465042,0.09898291378465042,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,11852.112265718828,1302.035915313616,1302.035915313616,0.0989829137846478,0.0989829137846478,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,11852.112083964104,1302.0360970683396,1302.0360970683396,0.09898292760194109,0.09898292760194109,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,11852.112083964075,1302.0360970683687,1302.0360970683687,0.09898292760194331,0.09898292760194331,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,11852.112083964106,1302.0360970683378,1302.0360970683378,0.09898292760194095,0.09898292760194095,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,11852.112083964104,1302.0360970683396,1302.0360970683396,0.09898292760194109,0.09898292760194109,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,11852.112083964075,1302.0360970683687,1302.0360970683687,0.09898292760194331,0.09898292760194331,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05_L06,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,11852.112083964106,1302.0360970683378,1302.0360970683378,0.09898292760194095,0.09898292760194095,0.013154148181032443,False,NONNEGATIVE_RETAINED
