condition,case_id,joint_index,radius_m,local_chamfer_mm2
D,dev_arm-dcc2b0ce1e,4,0.15206415285384897,0.0008888895034638966
D,dev_arm-dcc2b0ce1e,5,0.15206415285384897,0.0020240485157302377
D,dev_arm-dcc2b0ce1e,6,0.15206415285384897,0.001912902889360673
D,dev_arm-dcc2b0ce1e,7,0.15206415285384897,0.00043530591812206414
D,dev_arm-dcc2b0ce1e,8,0.15206415285384897,0.001914320166709268
D,dev_arm-f7b0b901d3,0,0.09380736911834071,0.0003075252192948913
D,dev_arm-f7b0b901d3,1,0.09380736911834071,0.0006324840471906646
D,dev_arm-f7b0b901d3,2,0.09380736911834071,0.00028128879869027227
D,dev_arm-f7b0b901d3,3,0.09380736911834071,0.00029406667522863727
D,dev_arm-f7b0b901d3,4,0.09380736911834071,0.0005254865584148124
D,dev_arm-f7b0b901d3,5,0.09380736911834071,0.000770709978906864
D,dev_arm-f7b0b901d3,6,0.09380736911834071,0.0007664396525736447
D,dev_arm-f7b0b901d3,7,0.09380736911834071,0.0003195849911076849
D,dev_arm-fdadfa8bdd,0,0.12139735794368126,0.0017271324579455458
D,dev_arm-fdadfa8bdd,1,0.12139735794368126,0.001704170732735131
D,dev_arm-fdadfa8bdd,2,0.12139735794368126,0.0016492228131707253
D,dev_arm-fdadfa8bdd,3,0.12139735794368126,0.0009548668473786519
D,dev_arm-fdadfa8bdd,4,0.12139735794368126,0.0009495235554262313
D,dev_arm-fdadfa8bdd,5,0.12139735794368126,0.0005413362401956133
D,dev_arm-fdadfa8bdd,6,0.12139735794368126,0.00022952203414685718
D,dev_arm-fdadfa8bdd,7,0.12139735794368126,0.000497059923242719
D,dev_arm-fdadfa8bdd,8,0.12139735794368126,0.0005347240528252726
