case_id,version,link_id,gt_link_index,status,chamfer,hd95,hausdorff_max,voxel_iou
dev_arm-dcc2b0ce1e,V1,L3,3,SUCCESS,0.0012783666218299222,0.07981988289639447,0.09157857348356006,0.16129032258064516
dev_arm-dcc2b0ce1e,V1,L4,4,SUCCESS,0.0014467091532302614,0.10323804067456747,0.13869354755983454,0.5454545454545454
dev_arm-dcc2b0ce1e,V1,L5,5,SUCCESS,0.0001305065992805996,0.02673586475493525,0.03421047205330933,0.3333333333333333
dev_arm-dcc2b0ce1e,V1,L6,6,SUCCESS,0.0005003997641736878,0.04229889806876394,0.05060829787086335,0.25
dev_arm-dcc2b0ce1e,V1,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V1,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V1,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V2,L0,0,SUCCESS,0.0037923664822510513,0.16150508298003902,0.1828136007067274,0.3854166666666667
dev_arm-dcc2b0ce1e,V2,L1,1,SUCCESS,0.0031267618048697226,0.11073826511705889,0.12618589222815502,0.08571428571428572
dev_arm-dcc2b0ce1e,V2,L2,2,SUCCESS,0.00046491382458069893,0.046059143799264866,0.06306233556653969,0.7058823529411765
dev_arm-dcc2b0ce1e,V2,L3,3,SUCCESS,0.0010704323108992795,0.07425276278150873,0.0862114698721113,0.3939393939393939
dev_arm-dcc2b0ce1e,V2,L4,4,SUCCESS,0.0019140094793028838,0.11855224725351797,0.14186428680240665,0.4626865671641791
dev_arm-dcc2b0ce1e,V2,L5,5,SUCCESS,0.000276709330135675,0.04031298620288133,0.048541452345414536,0.5625
dev_arm-dcc2b0ce1e,V2,L6,6,SUCCESS,0.0008778768956814349,0.05569382794560123,0.06364643555940806,0.14285714285714285
dev_arm-dcc2b0ce1e,V2,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V2,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V2,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L0,0,SUCCESS,0.005020271638810795,0.16473168133812444,0.17976737349926086,0.3611111111111111
dev_arm-43fa322555,V0,L1,1,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L2,2,SUCCESS,0.005891148314618815,0.1721722111747626,0.18204165049435286,0.08695652173913043
dev_arm-43fa322555,V0,L3,3,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L4,4,SUCCESS,0.005541062544297615,0.14713701360610365,0.15385326724934684,0.22950819672131148
dev_arm-43fa322555,V0,L5,5,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L6,6,SUCCESS,0.00545382860748837,0.12088254605986408,0.13574936973379534,0.08333333333333333
dev_arm-43fa322555,V0,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L8,8,SUCCESS,0.0035606144360076125,0.13613284592728783,0.15959620471575323,0.22727272727272727
dev_arm-43fa322555,V0,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L10,10,SUCCESS,0.008436782830642062,0.19843636860699507,0.23070222586193667,0.037037037037037035
dev_arm-43fa322555,V0,L11,11,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L12,12,SUCCESS,0.006423768588951174,0.12708561768981025,0.13901414977794224,0.0
dev_arm-43fa322555,V0,L13,13,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L14,14,SUCCESS,0.009439747576162259,0.14937914803739458,0.16810692649863224,0.0
dev_arm-43fa322555,V0,L15,15,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V0,L16,16,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L0,0,SUCCESS,0.006203169363898541,0.2090294623318522,0.22992867217766497,0.32098765432098764
dev_arm-43fa322555,V1,L1,1,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L2,2,SUCCESS,0.005329520016705364,0.16563572014395608,0.17203359696926035,0.08333333333333333
dev_arm-43fa322555,V1,L3,3,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L4,4,SUCCESS,0.002997232654999394,0.13459992954863198,0.15666905583400903,0.2857142857142857
dev_arm-43fa322555,V1,L5,5,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L6,6,SUCCESS,0.002695718847302804,0.10803292938432617,0.11377126058076474,0.05714285714285714
dev_arm-43fa322555,V1,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L8,8,SUCCESS,0.010388083031303764,0.2510131331029457,0.2762737265351191,0.27848101265822783
dev_arm-43fa322555,V1,L9,9,GT_LINK_MESH_MISSING,,,,
