case_id,link_id,view,crop_kind,crop_path,bbox_px,localization_method,gt_geometry_used
dev_arm-4c7b408826,L7,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L7\isometric_proximal_joint_crop.png,"[159, 59, 259, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L7,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L7\isometric_distal_joint_crop.png,"[177, 59, 277, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L8,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L8\front_link_crop.png,"[229, 81, 341, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L8,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L8\front_proximal_joint_crop.png,"[220, 81, 320, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L8,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L8\front_distal_joint_crop.png,"[250, 81, 350, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L8,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L8\isometric_link_crop.png,"[186, 59, 286, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L8,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L8\isometric_proximal_joint_crop.png,"[177, 59, 277, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L8,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L8\isometric_distal_joint_crop.png,"[195, 59, 295, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L9,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L9\front_link_crop.png,"[248, 82, 360, 313]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L9,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L9\front_proximal_joint_crop.png,"[250, 81, 350, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L9,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L9\front_distal_joint_crop.png,"[260, 82, 360, 313]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L9,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L9\isometric_link_crop.png,"[204, 59, 304, 381]",silhouette_bbox_plus_urdf_link_order,False
