entity_id,manufacturer,name,source,is_audit30,ratio,feature_ok,failures,n_meshes,n_failed,faces,normal_spectral_entropy,curvature_entropy,dihedral_q90_deg,sharp_rate_30deg,complexity_score
arm-b9fde37ad7,Fanuc,M-16iB,matlab,False,0.5,True,[],7,0,1524,0.885333819603269,0.47388026885099854,37.17974303438853,0.15166547774039565,-0.18127848150272446
arm-b9fde37ad7,Fanuc,M-16iB,matlab,False,0.25,True,[],7,0,800,0.8849969889315931,0.5537316930607133,49.12671612235177,0.21229454382226878,0.07421518439916093
arm-ca973d7c40,Fanuc,M-20iA,ros-industrial,False,1.0,True,[],7,0,12035,0.9040359989492193,0.14378331511658587,12.791200123138546,0.029988262601846505,-0.7646290225162169
arm-ca973d7c40,Fanuc,M-20iA,ros-industrial,False,0.5,True,[],7,0,6021,0.9041176748742249,0.30844897007057603,23.665021678765285,0.07607959786507999,-0.44426948234325836
arm-ca973d7c40,Fanuc,M-20iA,ros-industrial,False,0.25,True,[],7,0,4237,0.9016324573427186,0.37778447140664206,31.43556925169661,0.10894746055223688,-0.2853917843958374
arm-58bea95949,Fanuc,M-20iA/10L,ros-industrial,False,1.0,True,[],7,0,3970,0.8978193864917641,0.29042050975983735,20.612239023456407,0.03987244901948613,-0.5853591590285846
arm-58bea95949,Fanuc,M-20iA/10L,ros-industrial,False,0.5,True,[],7,0,1981,0.897699252112658,0.4080071431607878,32.36198643617182,0.10113239519077583,-0.28683640281648065
arm-58bea95949,Fanuc,M-20iA/10L,ros-industrial,False,0.25,True,[],7,0,1037,0.8970833379090636,0.5220515111557744,40.31581212249671,0.16756869879634426,-0.006437314715839949
arm-f39f0bc934,Fanuc,M-20iB/25,ros-industrial,False,1.0,True,[],7,0,12598,0.9076082724811242,0.13745735698951972,10.00038562839079,0.02411927389785147,-0.7731809530360706
arm-f39f0bc934,Fanuc,M-20iB/25,ros-industrial,False,0.5,True,[],7,0,6293,0.9076143886306086,0.22752773627310552,16.358683188685312,0.04256682854111119,-0.6079289294668878
arm-f39f0bc934,Fanuc,M-20iB/25,ros-industrial,False,0.25,True,[],7,0,3217,0.9076866199151555,0.3286162881152328,24.550425108297596,0.07439920016194214,-0.3968762959242897
arm-80ddefb001,Fanuc,M-430iA/2F,ros-industrial,False,1.0,True,[],6,0,6614,0.9141720202119767,0.17126670047660184,22.46040038187624,0.07626274209910625,-0.5352054618091078
arm-80ddefb001,Fanuc,M-430iA/2F,ros-industrial,False,0.5,True,[],6,0,3304,0.9141611616072176,0.34261477721918093,33.18819924125019,0.1197005358404115,-0.21353831868496992
arm-80ddefb001,Fanuc,M-430iA/2F,ros-industrial,False,0.25,True,[],6,0,1664,0.9143284710219136,0.42620074366955996,38.312813922626596,0.13591330288190126,-0.06481772009182993
arm-de477bc804,Fanuc,M-430iA/2P,ros-industrial,False,1.0,True,[],7,0,8286,0.9411508340236313,0.19489051105351787,31.166486974359664,0.0943698528708931,-0.2539148440700321
arm-de477bc804,Fanuc,M-430iA/2P,ros-industrial,False,0.5,True,[],7,0,4140,0.941067432631467,0.3445211691157232,38.198373906298436,0.1268631512864183,0.004577568839448147
arm-de477bc804,Fanuc,M-430iA/2P,ros-industrial,False,0.25,True,[],7,0,2080,0.9409313031445901,0.43129865678268975,40.54675897202933,0.13924494123266934,0.13339890319333897
arm-c10bd68349,Fanuc,M-6iB,ros-industrial,False,1.0,True,[],7,0,1866,0.9088865029366471,0.43153189799846403,48.2032343305621,0.15192832729609668,-0.014271969892965503
arm-c10bd68349,Fanuc,M-6iB,ros-industrial,False,0.5,True,[],7,0,1002,0.9094710048377794,0.5413455282206827,52.1812566568933,0.20982147435773937,0.23331570916627523
arm-c10bd68349,Fanuc,M-6iB,ros-industrial,False,0.25,True,[],7,0,742,0.9097746551106268,0.5877567499236375,57.8401715863326,0.2751002521975431,0.4311445371413892
arm-b7a6f7cec6,Fanuc,M-6iB/6S,ros-industrial,True,1.0,True,[],7,0,2188,0.9365085954842208,0.4201464733559066,42.84583240664327,0.1444180298455936,0.11329546054434211
arm-b7a6f7cec6,Fanuc,M-6iB/6S,ros-industrial,True,0.5,True,[],7,0,1090,0.9365960007724073,0.549593508489786,48.44000786688747,0.21371413067321102,0.4078285209087302
arm-b7a6f7cec6,Fanuc,M-6iB/6S,ros-industrial,True,0.25,True,[],7,0,702,0.9371447621084197,0.6126864033880685,57.08142309276703,0.2910910315458709,0.6626810454087924
