entity_id,manufacturer,name,v3_split,face_budget,approximation_ok,original_faces,target_faces,achieved_faces,mesh_count,failure_count,failures,normalized_chamfer,normalized_hausdorff,normal_error
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,development,5000,True,12600,5000,5524,7,0,[],0.0241429837797598,0.0779081619067828,0.04819157095355159
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,development,10000,True,12600,10000,9994,7,0,[],0.02414619492230284,0.07194659891766216,0.04529598568231228
arm-b9fde37ad7,Fanuc,M-16iB,development,1000,True,3055,1000,994,7,0,[],0.022441979425278705,0.06369604354493319,0.04081869782350204
arm-b9fde37ad7,Fanuc,M-16iB,development,5000,True,3055,5000,3055,7,0,[],0.0,0.0,0.0
arm-b9fde37ad7,Fanuc,M-16iB,development,10000,True,3055,10000,3055,7,0,[],0.0,0.0,0.0
arm-ca973d7c40,Fanuc,M-20iA,development,1000,True,12035,1000,3927,7,0,[],0.02234947436515403,0.06383850487272578,0.04675268268219919
arm-ca973d7c40,Fanuc,M-20iA,development,5000,True,12035,5000,5129,7,0,[],0.021940310914121935,0.06277498364465706,0.03623495277701484
arm-ca973d7c40,Fanuc,M-20iA,development,10000,True,12035,10000,9989,7,0,[],0.021728236325942334,0.06374659771866571,0.03546021098617802
arm-58bea95949,Fanuc,M-20iA/10L,development,1000,True,3970,1000,1011,7,0,[],0.02107014382460642,0.06391964067848696,0.04260843770788163
arm-58bea95949,Fanuc,M-20iA/10L,development,5000,True,3970,5000,3970,7,0,[],0.0,0.0,0.0
arm-58bea95949,Fanuc,M-20iA/10L,development,10000,True,3970,10000,3970,7,0,[],0.0,0.0,0.0
arm-f39f0bc934,Fanuc,M-20iB/25,development,1000,True,12598,1000,1741,7,0,[],0.024356541983590572,0.0742583102405866,0.056338335203830164
arm-f39f0bc934,Fanuc,M-20iB/25,development,5000,True,12598,5000,4991,7,0,[],0.023877572212279,0.07162034522113955,0.04055778077987332
arm-f39f0bc934,Fanuc,M-20iB/25,development,10000,True,12598,10000,9990,7,0,[],0.023715023629811628,0.07269399772792985,0.04071419923293207
arm-80ddefb001,Fanuc,M-430iA/2F,development,1000,True,6614,1000,992,6,0,[],0.022446573829748646,0.062114483192265056,0.043103957882041834
arm-80ddefb001,Fanuc,M-430iA/2F,development,5000,True,6614,5000,4992,6,0,[],0.022656514507767685,0.06805065178101659,0.03501113832650637
arm-80ddefb001,Fanuc,M-430iA/2F,development,10000,True,6614,10000,6614,6,0,[],0.0,0.0,0.0
arm-de477bc804,Fanuc,M-430iA/2P,development,1000,True,8286,1000,996,7,0,[],0.03405692496886153,0.11212893219826815,0.09707066103395363
